household_size,children_in_household,household_type,district,quarter,value
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2003Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2003Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2003Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2003Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2004Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2004Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2004Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2004Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2005Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2005Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2005Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2005Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2006Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2006Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2006Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2006Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2007Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2007Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2007Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2007Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2008Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2008Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2008Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2008Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2009Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2009Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2009Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2009Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2010Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2010Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2010Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2010Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2011Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2011Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2011Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2011Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2012Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2012Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2012Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2012Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2013Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2013Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2013Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2013Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2014Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2014Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2014Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2014Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2015Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2015Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2015Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2015Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2016Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2016Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2016Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2016Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2017Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2017Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2017Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2017Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2018Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2018Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2018Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2018Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2019Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2019Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2019Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2019Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2020Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2020Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2020Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2020Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2021Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2021Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2021Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2021Q4,0.0
